
# ========== clean session started at 2026-03-18 13:42:47 ==========
[2026-03-18 13:43:12] [clean] SKIPPED /Users/carl/Library/Caches/com.apple.FeatureAccessAgent (protected)
[2026-03-18 13:43:12] [clean] SKIPPED /Users/carl/Library/Caches/com.apple.FileProviderDaemon.AppStoreService (protected)
[2026-03-18 13:43:12] [clean] SKIPPED /Users/carl/Library/Caches/com.apple.HomeKit (protected)
[2026-03-18 13:43:12] [clean] SKIPPED /Users/carl/Library/Caches/com.apple.Music (protected)
[2026-03-18 13:43:12] [clean] SKIPPED /Users/carl/Library/Caches/com.apple.NewDeviceOutreach (protected)
[2026-03-18 13:43:13] [clean] SKIPPED /Users/carl/Library/Caches/com.apple.Safari (protected)
[2026-03-18 13:43:13] [clean] SKIPPED /Users/carl/Library/Caches/com.apple.SetupAssistant (protected)
[2026-03-18 13:43:13] [clean] SKIPPED /Users/carl/Library/Caches/com.apple.SoftwareUpdateNotificationManager (protected)
[2026-03-18 13:43:13] [clean] SKIPPED /Users/carl/Library/Caches/com.apple.Spotlight (protected)
[2026-03-18 13:43:13] [clean] SKIPPED /Users/carl/Library/Caches/com.apple.SystemProfiler (protected)
[2026-03-18 13:43:13] [clean] SKIPPED /Users/carl/Library/Caches/com.apple.SystemProfiler.AboutExtension (protected)
[2026-03-18 13:43:13] [clean] SKIPPED /Users/carl/Library/Caches/com.apple.TV (protected)
[2026-03-18 13:43:13] [clean] SKIPPED /Users/carl/Library/Caches/com.apple.VideoConference (protected)
[2026-03-18 13:43:13] [clean] SKIPPED /Users/carl/Library/Caches/com.apple.WalletSettingsExtension (protected)
[2026-03-18 13:43:13] [clean] SKIPPED /Users/carl/Library/Caches/com.apple.accountsd (protected)
[2026-03-18 13:43:13] [clean] SKIPPED /Users/carl/Library/Caches/com.apple.akd (protected)
[2026-03-18 13:43:13] [clean] SKIPPED /Users/carl/Library/Caches/com.apple.amsaccountsd (protected)
[2026-03-18 13:43:13] [clean] SKIPPED /Users/carl/Library/Caches/com.apple.amsengagementd (protected)
[2026-03-18 13:43:13] [clean] SKIPPED /Users/carl/Library/Caches/com.apple.ap.PromotedContentJetService (protected)
[2026-03-18 13:43:13] [clean] SKIPPED /Users/carl/Library/Caches/com.apple.ap.adprivacyd (protected)
[2026-03-18 13:43:13] [clean] SKIPPED /Users/carl/Library/Caches/com.apple.appleaccountd (protected)
[2026-03-18 13:43:13] [clean] SKIPPED /Users/carl/Library/Caches/com.apple.appstore (protected)
[2026-03-18 13:43:13] [clean] SKIPPED /Users/carl/Library/Caches/com.apple.appstoreagent (protected)
[2026-03-18 13:43:13] [clean] SKIPPED /Users/carl/Library/Caches/com.apple.appstorecomponentsd (protected)
[2026-03-18 13:43:13] [clean] SKIPPED /Users/carl/Library/Caches/com.apple.assistantd (protected)
[2026-03-18 13:43:13] [clean] SKIPPED /Users/carl/Library/Caches/com.apple.automator.actionCache-bundleLocations.plist (protected)
[2026-03-18 13:43:13] [clean] SKIPPED /Users/carl/Library/Caches/com.apple.automator.actionCache-system-standardLocations.plist (protected)
[2026-03-18 13:43:13] [clean] SKIPPED /Users/carl/Library/Caches/com.apple.betaenrollmentagent (protected)
[2026-03-18 13:43:13] [clean] SKIPPED /Users/carl/Library/Caches/com.apple.betaenrollmentd (protected)
[2026-03-18 13:43:13] [clean] SKIPPED /Users/carl/Library/Caches/com.apple.bird (protected)
[2026-03-18 13:43:13] [clean] SKIPPED /Users/carl/Library/Caches/com.apple.bookassetd (protected)
[2026-03-18 13:43:13] [clean] SKIPPED /Users/carl/Library/Caches/com.apple.bookdatastored (protected)
[2026-03-18 13:43:13] [clean] SKIPPED /Users/carl/Library/Caches/com.apple.businessservicesd (protected)
[2026-03-18 13:43:13] [clean] SKIPPED /Users/carl/Library/Caches/com.apple.cache_delete (protected)
[2026-03-18 13:43:13] [clean] SKIPPED /Users/carl/Library/Caches/com.apple.callintelligenced (protected)
[2026-03-18 13:43:13] [clean] SKIPPED /Users/carl/Library/Caches/com.apple.chrono (protected)
[2026-03-18 13:43:13] [clean] SKIPPED /Users/carl/Library/Caches/com.apple.cloudd (protected)
[2026-03-18 13:43:13] [clean] SKIPPED /Users/carl/Library/Caches/com.apple.commerce (protected)
[2026-03-18 13:43:13] [clean] SKIPPED /Users/carl/Library/Caches/com.apple.containermanagerd (protected)
[2026-03-18 13:43:13] [clean] SKIPPED /Users/carl/Library/Caches/com.apple.coreservices.uiagent (protected)
[2026-03-18 13:43:13] [clean] SKIPPED /Users/carl/Library/Caches/com.apple.ctcategories.service (protected)
[2026-03-18 13:43:13] [clean] SKIPPED /Users/carl/Library/Caches/com.apple.dataaccess.dataaccessd (protected)
[2026-03-18 13:43:13] [clean] SKIPPED /Users/carl/Library/Caches/com.apple.donotdisturbd (protected)
[2026-03-18 13:43:13] [clean] SKIPPED /Users/carl/Library/Caches/com.apple.duetexpertd (protected)
[2026-03-18 13:43:13] [clean] SKIPPED /Users/carl/Library/Caches/com.apple.e5rt.e5bundlecache (protected)
[2026-03-18 13:43:13] [clean] SKIPPED /Users/carl/Library/Caches/com.apple.feedbacklogger (protected)
[2026-03-18 13:43:13] [clean] SKIPPED /Users/carl/Library/Caches/com.apple.finder (protected)
[2026-03-18 13:43:13] [clean] SKIPPED /Users/carl/Library/Caches/com.apple.findmy.findmylocateagent (protected)
[2026-03-18 13:43:13] [clean] SKIPPED /Users/carl/Library/Caches/com.apple.findmy.fmfcore (protected)
[2026-03-18 13:43:13] [clean] SKIPPED /Users/carl/Library/Caches/com.apple.findmy.fmipcore (protected)
[2026-03-18 13:43:13] [clean] SKIPPED /Users/carl/Library/Caches/com.apple.gamed (protected)
[2026-03-18 13:43:13] [clean] SKIPPED /Users/carl/Library/Caches/com.apple.geoanalyticsd (protected)
[2026-03-18 13:43:13] [clean] SKIPPED /Users/carl/Library/Caches/com.apple.helpd (protected)
[2026-03-18 13:43:13] [clean] SKIPPED /Users/carl/Library/Caches/com.apple.homed (protected)
[2026-03-18 13:43:13] [clean] SKIPPED /Users/carl/Library/Caches/com.apple.iBooksX (protected)
[2026-03-18 13:43:13] [clean] SKIPPED /Users/carl/Library/Caches/com.apple.iCloudNotificationAgent (protected)
[2026-03-18 13:43:13] [clean] SKIPPED /Users/carl/Library/Caches/com.apple.iTunes (protected)
[2026-03-18 13:43:13] [clean] SKIPPED /Users/carl/Library/Caches/com.apple.iTunesCloud (protected)
[2026-03-18 13:43:13] [clean] SKIPPED /Users/carl/Library/Caches/com.apple.itunescloudd (protected)
[2026-03-18 13:43:13] [clean] SKIPPED /Users/carl/Library/Caches/com.apple.managedappdistributionagent (protected)
[2026-03-18 13:43:13] [clean] SKIPPED /Users/carl/Library/Caches/com.apple.maps.destinationd (protected)
[2026-03-18 13:43:13] [clean] SKIPPED /Users/carl/Library/Caches/com.apple.mlruntimed (protected)
